kristal_subscription_id,skey,fund_id,fkey
34908.0,0|17573|1274396,,
35466.0,0|17573|1274890,,
36026.0,0|17573|1275250,,
2069290.0,0|17573|1275496,,
36681.0,0|17573|1275818,,
39434.0,0|17573|1277357,,
39738.0,0|17573|1277488,,
48542.0,0|17573|1281511,,
49953.0,0|17573|1282698,,
60215.0,0|17573|1285733,,
2067981.0,0|17573|1289393,,
18719.0,0|17603|1223971,,
18710.0,0|17603|1229622,,
18716.0,0|17603|1241568,,
23296.0,0|17603|1247440,,
22959.0,0|17603|1263198,,
19223.0,0|17648|1263198,,
26004.0,0|17662|1269015,,
19856.0,0|17687|1224590,,
21044.0,0|17687|1263794,,
24445.0,0|17724|1224590,,
20722.0,0|17724|1247440,,
32798.0,0|17724|1263198,,
26657.0,0|17724|1263794,,
40219.0,0|17724|1275234,,
28520.0,0|17747|1223971,,
21043.0,0|17747|1263794,,
33893.0,0|17747|1269874,,
38706.0,0|17754|1244852,,
30076.0,0|17754|1247440,,
2068205.0,0|17754|1289747,,
21760.0,0|17755|1224590,,
31846.0,0|17755|1244852,,
22994.0,0|17755|1263794,,
21151.0,0|17755|1266167,,
31948.0,0|17755|1269908,,
65606.0,0|17755|1272135,,
38175.0,0|17755|1276546,,
23933.0,0|17767|1247440,,
2071899.0,0|17767|1291020,,
22151.0,0|17774|1269874,,
20678.0,0|17782|1266160,,
24446.0,0|17792|1224590,,
26659.0,0|17792|1263794,,
21304.0,0|17792|1266166,,
21840.0,0|17801|1266174,,
33645.0,0|17806|1224590,,
36002.0,0|17806|1244852,,
22781.0,0|17806|1247440,,
20934.0,0|17806|1263198,,
31216.0,0|17806|1267189,,
28730.0,0|17806|1269750,,
